name,traffic_score,rating,category,state
CT Advance Sports (Max Court),49.0,4.3,Other Outdoor & Lawn Sports,Kedah
Futsal n Badminton Court Bandar Country Homes,51.43,3.9,Recreation Centers,Selangor
SnoWalk by i-City,42.29,4.1,Snow & Winter Sports,Selangor
V Functional Fitness,44.0,4.9,Gyms & Studios,Johor
Ombak Damai,44.33,4.1,Recreation Centers,Other
Too Bee Sport Centre,41.43,4.1,Team Sports & Fields,Johor
Fitness First Gym - Paradigm Mall,43.43,4.1,Gyms & Studios,Selangor
Danau Golf UKM (DGUKM),57.0,4.0,Golf & Driving Ranges,Selangor
Camp5 Climbing Gym,52.14,4.6,Gyms & Studios,Selangor
Fury Fitness,44.0,4.5,Gyms & Studios,Kedah
Perniagaan Ewatt,56.0,4.3,Fishing & Hunting,Kelantan
Pulau Chekas Riverpools,41.29,4.5,Recreation Centers,Pahang
Muscle House Fitness Center - Muar,24.57,4.9,Gyms & Studios,Johor
force fitness kajang,25.43,4.3,Gyms & Studios,Selangor
Cobra Gym Express Taman Sentosa 24 Hour Fitness,40.57,4.5,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,45.43,4.4,Fishing & Hunting,Sabah
Kiulu White Water Rafting Centre,49.86,4.5,Water & Aquatic Sports,Sabah
TCE Tackles Sdn Bhd,62.71,4.1,Fishing & Hunting,Perak
Transform Fitness Centre,41.71,4.6,Gyms & Studios,Johor
Avenger Sports Arena,46.71,3.9,Recreation Centers,Selangor
Dory Swim (Cheras Branch),55.86,4.7,Water & Aquatic Sports,Kuala Lumpur
TCE Tackles Sdn Bhd,54.86,4.1,Fishing & Hunting,Terengganu
Bukit Jalil Golf Club Driving Range,53.57,4.0,Golf & Driving Ranges,Kuala Lumpur
Maran Hill Golf and Resort,19.43,3.9,Golf & Driving Ranges,Pahang
Golfzon Johor,38.29,4.9,Golf & Driving Ranges,Johor
Taman Cabaran (Wall Climbing) Challenger Park Rock Climbing Gym,43.67,4.4,Recreation Centers,Putrajaya
Celebrity Fitness Gym - Wangsa Walk,46.29,3.6,Gyms & Studios,Kuala Lumpur
Xiang Recreation 湘休闲中心,44.17,4.1,Recreation Centers,Johor
Anytime Fitness Sentul Point,39.71,4.4,Gyms & Studios,Kuala Lumpur
LifenFitness EkoCheras,30.29,4.6,Gyms & Studios,Kuala Lumpur
Anytime Fitness @Menara UOA Bangsar,34.86,4.2,Gyms & Studios,Kuala Lumpur
Permaipura Golf & Country Club,61.14,4.4,Golf & Driving Ranges,Kedah
TCE Tackles Sdn Bhd,72.29,4.4,Fishing & Hunting,Selangor
MUAY THAI BULOH GADING,55.29,4.6,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,60.0,4.0,Fishing & Hunting,Selangor
Workout Holic Gym,52.43,4.3,Gyms & Studios,Selangor
Penang Golf Resort,41.29,3.9,Golf & Driving Ranges,Penang
Winner Court,47.14,3.9,Recreation Centers,Sarawak
GT Sports & Recreation Club,39.43,4.6,Recreation Centers,Perak
Aspire @ Access World,49.43,5.0,Gyms & Studios,Selangor
Savage Gears PuchongGym&Studio,35.29,4.4,Gyms & Studios,Selangor
Sport Line Tackle Shop Section 15 Shah Alam,49.29,4.8,Fishing & Hunting,Selangor
U Five Sports center,44.29,4.0,Recreation Centers,Johor
TCE Tackles Sdn Bhd,71.71,4.1,Fishing & Hunting,Sarawak
Silver State Table Tennis Centre,66.29,4.4,Gyms & Studios,Perak
Dewan Serbaguna Taman Setiawangsa,49.86,4.3,Recreation Centers,Kuala Lumpur
