name,lat,lon,category,traffic_score,rating,state
White Fairy Futsal & Badminton Court,3.05970352,101.63433387,Recreation Centers,50.43,4.0,Selangor
The Parenthood @ Melawati Mall,3.21032881,101.7460373,Recreation Centers,47.43,4.0,Kuala Lumpur
TCE Tackles Sdn Bhd,5.02800675,118.28977727,Fishing & Hunting,60.57,4.6,Sabah
Rancak Fishing Resort,4.91619927,100.71238798,Fishing & Hunting,35.71,5.0,Perak
Permas City Walks,1.51168518,103.81531647,Other Outdoor & Lawn Sports,31.0,4.3,Johor
Footballhub & Picklehub @ SkyArena,3.39023137,101.77556758,Team Sports & Fields,24.57,4.0,Pahang
"Lean Muscle Gym (Fitness, Protein, Supplements & Personal Trainer)",2.8210062,101.8155594,Gyms & Studios,54.33,4.9,Negeri Sembilan
Kolam Pancing Top One,1.41288431,103.41266854,Fishing & Hunting,27.14,4.1,Johor
Forum Pudu,3.13482769,101.71379743,Recreation Centers,23.43,4.2,Kuala Lumpur
ALIMAMA ONLINE STORE,2.90711397,101.4595601,Fishing & Hunting,57.0,4.9,Selangor
Lucky Recreational Center,4.57686084,101.07880677,Fishing & Hunting,42.14,4.9,Perak
Ah huat fishing cafe,1.57780347,103.72335238,Fishing & Hunting,60.71,4.7,Johor
"24-Hour Gym: Anytime Fitness Bandar Kinrara, Puchong",3.05035934,101.64297945,Gyms & Studios,31.29,4.7,Selangor
Anytime Fitness Bukit Jelutong,3.10174124,101.53315032,Gyms & Studios,37.57,4.5,Selangor
"24-Hour Gym: Anytime Fitness Taman Desa, Faber Towers",3.10259223,101.6822269,Gyms & Studios,37.71,4.5,Kuala Lumpur
"Air Terjun Ulu Licin, ( Beruas, Perak )",4.53664287,100.77510045,Recreation Centers,28.14,4.4,Perak
Putrajaya Challenge Park - Skatepark,2.88919158,101.66288651,Skating & Rinks,62.71,4.6,Putrajaya
Bukit Unggul Country Club,2.88635132,101.7468048,Golf & Driving Ranges,59.86,4.0,Selangor
CT Advance Sports (Max Court),5.63895732,100.50205094,Other Outdoor & Lawn Sports,49.0,4.3,Kedah
Futsal n Badminton Court Bandar Country Homes,3.3365194,101.52004485,Recreation Centers,51.43,3.9,Selangor
SnoWalk by i-City,3.0651686,101.48223161,Snow & Winter Sports,42.29,4.1,Selangor
V Functional Fitness,2.02012061,103.30729137,Gyms & Studios,44.0,4.9,Johor
Ombak Damai,5.2826443,100.21407953,Recreation Centers,44.33,4.1,Other
Too Bee Sport Centre,1.49929985,103.85950352,Team Sports & Fields,41.43,4.1,Johor
Fitness First Gym - Paradigm Mall,3.10449721,101.59298897,Gyms & Studios,43.43,4.1,Selangor
Danau Golf UKM (DGUKM),2.93539582,101.7848322,Golf & Driving Ranges,57.0,4.0,Selangor
Camp5 Climbing Gym,3.14984466,101.61367564,Gyms & Studios,52.14,4.6,Selangor
Fury Fitness,5.40647068,100.5463998,Gyms & Studios,44.0,4.5,Kedah
Perniagaan Ewatt,6.14116919,102.23365015,Fishing & Hunting,56.0,4.3,Kelantan
Pulau Chekas Riverpools,3.94262298,102.01928694,Recreation Centers,41.29,4.5,Pahang
Muscle House Fitness Center - Muar,2.04958165,102.56889932,Gyms & Studios,24.57,4.9,Johor
force fitness kajang,2.96751584,101.78715466,Gyms & Studios,25.43,4.3,Selangor
Cobra Gym Express Taman Sentosa 24 Hour Fitness,3.00865574,101.46959712,Gyms & Studios,40.57,4.5,Selangor
TCE Tackles Sdn Bhd,5.96855345,116.0691437,Fishing & Hunting,45.43,4.4,Sabah
Kiulu White Water Rafting Centre,6.06500118,116.27729273,Water & Aquatic Sports,49.86,4.5,Sabah
TCE Tackles Sdn Bhd,4.19737981,100.66741268,Fishing & Hunting,62.71,4.1,Perak
Transform Fitness Centre,1.56287144,103.79774321,Gyms & Studios,41.71,4.6,Johor
Avenger Sports Arena,3.12490644,101.74222779,Recreation Centers,46.71,3.9,Selangor
Dory Swim (Cheras Branch),3.08876854,101.72439965,Water & Aquatic Sports,55.86,4.7,Kuala Lumpur
TCE Tackles Sdn Bhd,5.74141259,102.47263013,Fishing & Hunting,54.86,4.1,Terengganu
Bukit Jalil Golf Club Driving Range,3.05195772,101.67825824,Golf & Driving Ranges,53.57,4.0,Kuala Lumpur
Maran Hill Golf and Resort,3.57797862,102.78093128,Golf & Driving Ranges,19.43,3.9,Pahang
Golfzon Johor,1.39371865,103.63253579,Golf & Driving Ranges,38.29,4.9,Johor
Taman Cabaran (Wall Climbing) Challenger Park Rock Climbing Gym,2.88862156,101.66570067,Recreation Centers,43.67,4.4,Putrajaya
Celebrity Fitness Gym - Wangsa Walk,3.19931796,101.74001974,Gyms & Studios,46.29,3.6,Kuala Lumpur
Xiang Recreation 湘休闲中心,1.99850553,102.58819967,Recreation Centers,44.17,4.1,Johor
Anytime Fitness Sentul Point,3.20193345,101.68677913,Gyms & Studios,39.71,4.4,Kuala Lumpur
LifenFitness EkoCheras,3.09517854,101.73595274,Gyms & Studios,30.29,4.6,Kuala Lumpur
