category,rating,name,state
Fishing & Hunting,4.3,Perniagaan Ewatt,Kelantan
Recreation Centers,4.5,Pulau Chekas Riverpools,Pahang
Gyms & Studios,4.9,Muscle House Fitness Center - Muar,Johor
Gyms & Studios,4.3,force fitness kajang,Selangor
Gyms & Studios,4.5,Cobra Gym Express Taman Sentosa 24 Hour Fitness,Selangor
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Sabah
Water & Aquatic Sports,4.5,Kiulu White Water Rafting Centre,Sabah
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Perak
Gyms & Studios,4.6,Transform Fitness Centre,Johor
Recreation Centers,3.9,Avenger Sports Arena,Selangor
Water & Aquatic Sports,4.7,Dory Swim (Cheras Branch),Kuala Lumpur
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Terengganu
Golf & Driving Ranges,4.0,Bukit Jalil Golf Club Driving Range,Kuala Lumpur
Golf & Driving Ranges,3.9,Maran Hill Golf and Resort,Pahang
Golf & Driving Ranges,4.9,Golfzon Johor,Johor
Recreation Centers,4.4,Taman Cabaran (Wall Climbing) Challenger Park Rock Climbing Gym,Putrajaya
Gyms & Studios,3.6,Celebrity Fitness Gym - Wangsa Walk,Kuala Lumpur
Recreation Centers,4.1,Xiang Recreation 湘休闲中心,Johor
Gyms & Studios,4.4,Anytime Fitness Sentul Point,Kuala Lumpur
Gyms & Studios,4.6,LifenFitness EkoCheras,Kuala Lumpur
Gyms & Studios,4.2,Anytime Fitness @Menara UOA Bangsar,Kuala Lumpur
Golf & Driving Ranges,4.4,Permaipura Golf & Country Club,Kedah
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Selangor
Gyms & Studios,4.6,MUAY THAI BULOH GADING,Selangor
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Selangor
Gyms & Studios,4.3,Workout Holic Gym,Selangor
Golf & Driving Ranges,3.9,Penang Golf Resort,Penang
Recreation Centers,3.9,Winner Court,Sarawak
Recreation Centers,4.6,GT Sports & Recreation Club,Perak
Gyms & Studios,5.0,Aspire @ Access World,Selangor
Gyms & Studios,4.4,Savage Gears PuchongGym&Studio,Selangor
Fishing & Hunting,4.8,Sport Line Tackle Shop Section 15 Shah Alam,Selangor
Recreation Centers,4.0,U Five Sports center,Johor
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Sarawak
