category,rating,name,state
Saunas & Spas,4.3,Tambun Herbal Sauna,Penang
Fishing & Hunting,4.5,TCE Tackles Sdn Bhd,Johor
Other Outdoor & Lawn Sports,4.0,Pro One Badminton Court,Selangor
Golf & Driving Ranges,4.0,Batu Pahat Golf Club,Johor
Shooting & Gun Ranges,4.0,PLSC GEL BLASTER MALAYSIA,Selangor
Fishing & Hunting,4.1,Kolam Pancing Udang Galah kg subang,Selangor
Gyms & Studios,4.4,Lite Fitness Raub,Pahang
Gyms & Studios,4.8,M factory Gym,Johor
Fishing & Hunting,3.9,Trobong Bay,Sabah
Gyms & Studios,4.3,Futsal MG2 Teras Jernang,Selangor
Gyms & Studios,4.4,"Gympark Fitness, Klang Utama",Selangor
Golf & Driving Ranges,4.4,MST Golf Super Store Plaza Shell,Sabah
Recreation Centers,4.5,Hutan Lipur Ulu Bendul,Negeri Sembilan
Other Outdoor & Lawn Sports,4.3,Master Badminton Club (MBC) Gunung Rapat,Perak
Gyms & Studios,4.1,Our Gym,Selangor
Gyms & Studios,4.6,"Gympark Fitness, PJ222",Selangor
Gyms & Studios,4.8,LifenFitness Bukit Bintang,Kuala Lumpur
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Terengganu
Fishing & Hunting,3.7,Kolam Pancing Air Masin ADURO,Selangor
Other Outdoor & Lawn Sports,4.4,Dewan Badminton Game Point,Johor
Other Outdoor & Lawn Sports,4.1,badminton court,Johor
Golf & Driving Ranges,4.0,Samarahan Country Club,Sarawak
Skating & Rinks,4.3,Shah Alam Extreme Park,Selangor
Gyms & Studios,3.5,Celebrity Fitness Gym - Endah Parade,Kuala Lumpur
Fishing & Hunting,3.8,Kolam Pancing Big Boss,Selangor
Recreation Centers,4.0,TS Sport Complex Sdn. Bhd.,Johor
Recreation Centers,4.1,Falim Sports Centre,Perak
Fishing & Hunting,4.1,Kolam Memancing Udang Galah Abang Roi,Selangor
Golf & Driving Ranges,3.6,Bukit Banang Golf & Country Club,Johor
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Kedah
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Selangor
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Sarawak
Gyms & Studios,4.2,Anytime Fitness Tamarind Square,Selangor
Gyms & Studios,3.9,Pura Kencana Swimming Pool,Johor
Golf & Driving Ranges,4.1,Penang Golf Club,Other
Saunas & Spas,3.4,Oops! Gym Steam and Sauna,Kuala Lumpur
Gyms & Studios,4.4,One More Rep Gymnasium Sri Serdang,Selangor
Recreation Centers,3.9,The Sports Barn PJ,Selangor
Gyms & Studios,3.9,The Optimum Fitness Centre,Kedah
Recreation Centers,4.2,Batu Berendam Badminton,Melaka
Skating & Rinks,4.3,Sunway Pyramid Ice,Selangor
Gyms & Studios,4.4,Equine Park Fitness Seri Kembangan,Selangor
Recreation Centers,4.5,W.O.S Petaling Jaya,Selangor
Golf & Driving Ranges,3.8,Orna Golf & Country Club,Melaka
Fishing & Hunting,4.3,1stopfishing Shah Alam,Selangor
Other Outdoor & Lawn Sports,3.7,Kajang United BC (KUBC),Selangor
Gyms & Studios,4.6,D'Popeye Gym,Kuala Lumpur
Gyms & Studios,4.3,Level Up Fitness Xpress Kuala Terengganu,Terengganu
Golf & Driving Ranges,4.1,Impian Golf & Country Club,Selangor
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Kedah
Gyms & Studios,4.7,Muscle Construct Gym,Kedah
Gyms & Studios,4.5,SEVEN STAR GYM GELUGOR,Other
Recreation Centers,4.1,Shah Alam Badminton Centre,Selangor
Recreation Centers,4.4,Kompleks Sukan USM,Other
Recreation Centers,4.2,Winning Futsal,Other
Paintball & Laser,4.5,Cyberjaya Paintball Park,Other
Recreation Centers,4.1,Ultimate Sporthaus,Negeri Sembilan
Golf & Driving Ranges,4.8,Leonian Malaysia Sdn Bhd (HQ),Selangor
Fishing & Hunting,4.7,TCE Tackles Sdn Bhd,Kedah
Martial Arts & Dojos,4.8,Monarchy MMA | Bangsar Branch,Kuala Lumpur
Fishing & Hunting,4.4,Blue Water,Johor
Gyms & Studios,4.6,Villain Barbell Club,Selangor
Recreation Centers,4.3,Kompleks Sukan PKNS,Selangor
Gyms & Studios,4.8,FitLab Studio & Gym,Negeri Sembilan
Other Outdoor & Lawn Sports,3.8,USJ 23 Badminton Court,Selangor
Golf & Driving Ranges,4.1,Bangi Golf Resort,Selangor
Golf & Driving Ranges,4.1,Ponderosa Golf & Country Resort,Johor
Racquet & Club Sports,4.4,Tun Razak National Tennis Centre - Jalan Duta,Kuala Lumpur
Gyms & Studios,4.8,Kungfu Dojo Sabah,Sabah
Fishing & Hunting,4.2,Hulu Langat Fishing Resort & Restaurant,Selangor
Fishing & Hunting,4.0,Hasya Joran,Selangor
Fishing & Hunting,4.7,Heartcore Angler,Selangor
Gyms & Studios,4.2,Level Up Fitness Xpress BDC (24-Hour Gym),Sarawak
Gyms & Studios,4.6,FOR U FITNESS,Kedah
Golf & Driving Ranges,4.0,Kota Damansara Driving Range,Selangor
Water & Aquatic Sports,4.4,Brader Rosly Island Hopping,Kedah
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Johor
Ball Sports,4.8,Patikang Futsal Club,Sabah
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Johor
Recreation Centers,4.4,X Park Sendayan,Negeri Sembilan
Gyms & Studios,4.7,Infinity Gym Fitness,Kedah
Other Outdoor & Lawn Sports,4.1,OUG Shuttle Bug Sports Centre,Kuala Lumpur
Gyms & Studios,4.9,DR Y & S FITNESS CENTRE KK,Selangor
Fishing & Hunting,4.2,Kolam Pancing KMK,Kedah
Gyms & Studios,4.4,EXCELL GYM FITNESS CENTER LARKIN IDAMAN,Johor
Gyms & Studios,4.7,Aurora Studio,Selangor
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Sarawak
Gyms & Studios,4.6,U-Fitness Gym Centre,Johor
Gyms & Studios,4.0,BELIEVE FITNESS ATIVO PLAZA,Kuala Lumpur
Recreation Centers,4.3,Elements Badminton Court,Selangor
Gyms & Studios,4.7,Gym Story Fitness Centre,Johor
Ball Sports,3.9,Futsal Kg.melayu Subang,Selangor
Other Outdoor & Lawn Sports,3.8,Fairview Eduresort @ Port Dickson,Negeri Sembilan
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Kedah
Gyms & Studios,4.5,Angelus Fitness Metrocity,Sarawak
Other Outdoor & Lawn Sports,4.5,Forum Klang Badminton Centre,Selangor
Gyms & Studios,4.0,GoFit - Central i-City Mall,Selangor
Golf & Driving Ranges,3.6,Mines Driving Range,Selangor
Gyms & Studios,4.5,Star Gym Health Centre Kuantan,Pahang
Other Outdoor & Lawn Sports,4.3,Lavana 2 Sports Centre (Subang),Selangor
Fishing & Hunting,3.9,TCE Tackles Sdn Bhd,Kedah
Gyms & Studios,4.8,Fitnacle Subang,Selangor
Gyms & Studios,4.3,"Peak Fitness Citta Mall, Ara Damansara",Selangor
Saunas & Spas,4.8,Kama'A Rejuvenation & Wellbeing Spa,Sabah
Saunas & Spas,4.3,Jari Bayu Spa & Reflexology,Sabah
Gyms & Studios,4.6,RFC Fitness,Kuala Lumpur
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Johor
Gyms & Studios,3.8,Fitness First Gym - Setia City Mall,Selangor
Team Sports & Fields,4.3,Footballhub @ Twentyfive.7,Selangor
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Sabah
Team Sports & Fields,4.5,"Hockey Stadium, Universiti Sains Malaysia",Penang
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Sarawak
Recreation Centers,4.1,Futsalhub @ Sunsuria Avenue,Selangor
Other Outdoor & Lawn Sports,4.4,Master Badminton Club | MBC | Jalan Kuala Kangsar,Perak
Recreation Centers,4.4,MBPP Relau Sport Complex,Other
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Negeri Sembilan
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Melaka
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Sabah
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Kedah
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Pahang
Ball Sports,4.0,KB Futsal Arena,Kelantan
Gyms & Studios,4.5,Fitness Star,Perak
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Perak
Gyms & Studios,4.8,Anytime Fitness Sunway Big Box,Johor
Gyms & Studios,4.7,Underground Fitness,Kuala Lumpur
Gyms & Studios,4.9,Hitfat,Kelantan
Gyms & Studios,5.0,TiJay Sports (TJS) Gymnastics Academy,Selangor
Golf & Driving Ranges,4.3,Palm Garden Golf Club,Putrajaya
Other Outdoor & Lawn Sports,4.3,Balakong Badminton Sports Center,Selangor
Fishing & Hunting,4.4,ZM Pro Fishing Shop- menjual peralatan memancing,Other
Recreation Centers,4.2,Proshuttle Balakong Badminton Court,Selangor
Fishing & Hunting,3.7,TCE Tackles Sdn Bhd,Kedah
Recreation Centers,4.1,KSL Sports,Selangor
Gyms & Studios,4.9,Pinnacle Fitness,Kuala Lumpur
Gyms & Studios,4.0,Fitworx Fitness Centre @ Amcorp Mall,Selangor
Gyms & Studios,4.3,MYSA Futsal & Gym,Pahang
Other Outdoor & Lawn Sports,4.5,Champion Badminton Courts & Pro Shop,Sarawak
Gyms & Studios,4.6,TLS Fitness Center Sdn Bhd,Selangor
Gyms & Studios,4.7,Furious Bootcamp,Kuala Lumpur
Gyms & Studios,4.4,Level Up Fitness City Mall (Premium 24-Hour Gym),Sabah
Golf & Driving Ranges,3.8,MST Golf Pelangi Driving Range,Johor
Gyms & Studios,3.6,Level Up fitness Segamat,Johor
Gyms & Studios,5.0,Life Hot Yoga @ Mont Kiara,Kuala Lumpur
Fishing & Hunting,4.1,Kedai Pancing Perniagaan Ewatt - Cawangan Jerteh,Terengganu
Ball Sports,4.3,Champion Futsal Court,Sarawak
Other Outdoor & Lawn Sports,4.0,Three Brother Ooi Sports Centre,Kedah
Fishing & Hunting,4.2,JPS TACKLE,Johor
Recreation Centers,4.4,Spacerubix,Selangor
Gyms & Studios,4.6,Seven Star gym Relau,Penang
Gyms & Studios,3.8,First Traxx Ski Snowboard,Selangor
Golf & Driving Ranges,4.2,Air Force Recreation Club,Selangor
Recreation Centers,4.6,Jump Street Asia (Kuala Lumpur),Selangor
Gyms & Studios,4.2,Level Up Fitness Xpress SkyArena (24-Hour Gym),Sabah
Ball Sports,4.2,Sports Prima Sdn Bhd,Johor
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Melaka
Fishing & Hunting,4.8,Wela Trading,Kelantan
Other Outdoor & Lawn Sports,4.2,Prima Badminton Centre,Selangor
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Perak
Recreation Centers,4.1,Youth and Sports Complex of Johor,Johor
Gyms & Studios,3.6,Anytime Fitness Sunway Geo,Selangor
Gyms & Studios,4.5,FitClub 24-Hour Gym,Selangor
Golf & Driving Ranges,3.9,MST Golf Outlet Store Kelana Parkview,Selangor
Gyms & Studios,4.7,Anytime Fitness High Park Suite Kelana Jaya,Selangor
Gyms & Studios,4.1,Anytime Fitness,Selangor
Other Outdoor & Lawn Sports,3.7,Michael's Badminton Academy @ Port Dickson,Negeri Sembilan
Gyms & Studios,4.2,Fitness by Platinum Pro Gym,Selangor
Gyms & Studios,4.7,XZone Futsal Center,Terengganu
Fishing & Hunting,4.6,TCE Tackles Sdn Bhd,Sarawak
Fishing & Hunting,4.8,Ruat Derhaka,Johor
Fishing & Hunting,4.5,Zinc Fishing Tackle Sdn Bhd,Kuala Lumpur
Gyms & Studios,4.5,Burning Jack Fitness Studio,Selangor
Fishing & Hunting,4.3,Kolam Pancing Udang RIINFA Hulu Langat,Selangor
Recreation Centers,4.8,SuperPark Malaysia,Kuala Lumpur
Gyms & Studios,4.0,The Iron Gym,Selangor
Gyms & Studios,4.7,Anytime Fitness Shaftsbury Putrajaya,Putrajaya
Team Sports & Fields,4.4,Setia Alam Badminton Arena,Selangor
Fishing & Hunting,4.2,Chop Kim Tong Hoe,Selangor
Gyms & Studios,4.9,Coliseum Fitness,Selangor
Gyms & Studios,4.9,"Savage Gears Gym (Taman SEA, PJ)",Selangor
Gyms & Studios,4.6,High Reps Gym & Fitness,Penang
Gyms & Studios,4.4,Cobra Gym Express Sg Udang Klang 24 Hour Fitness,Selangor
Gyms & Studios,3.8,Celebrity Fitness Gym - Bangsar Village 2,Kuala Lumpur
Other Outdoor & Lawn Sports,4.0,Super Sports Badminton,Johor
Recreation Centers,4.2,Futsal Complex Presint 18,Putrajaya
Gyms & Studios,3.9,Fitness First Gym - The Curve,Selangor
Golf & Driving Ranges,4.0,Tanjong Puteri Golf B/C course,Johor
Gyms & Studios,3.7,CATS Fitness Gym (CFG),Kedah
Racquet & Club Sports,4.8,Ace Tennis Academy (M) Sdn. Bhd.,Selangor
Gyms & Studios,4.2,De X Gym Fitness & Studio,Sarawak
Recreation Centers,4.3,Kelab Sosial Dan Rekreasi Lembaga Pelabuhan Kelang,Selangor
Gyms & Studios,4.9,LifenFitness TTDI,Kuala Lumpur
Recreation Centers,3.9,Kolam Pancing Udang Harimau GP,Selangor
Gyms & Studios,4.7,FireFit - Batai Village | Fire Station 1,Kuala Lumpur
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Pahang
Gyms & Studios,4.7,House Of Champions MY,Selangor
Fishing & Hunting,4.4,IGFA Fishing Sports Enterprise,Selangor
Fishing & Hunting,4.2,Yee Sport Fishing,Selangor
Ball Sports,4.3,Padang Bola Sepak UiTM Seremban,Negeri Sembilan
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Kedah
Gyms & Studios,3.5,Celebrity Fitness Gym - Sunway Pyramid,Selangor
Gyms & Studios,4.8,Fitness Score 24/7 Gym,Selangor
Gyms & Studios,3.7,Anytime Fitness PJ33,Selangor
Ball Sports,4.1,Best Bola-Bola Sport Centre,Penang
Recreation Centers,4.1,Maple Gold Recreation Center,Other
Recreation Centers,4.2,89 Arena Klang,Other
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Kelantan
Ball Sports,4.2,R7 Futsal Centre,Perlis
Gyms & Studios,3.5,Pusat Bina Bodytalk Gym & Sauna,Perak
Fishing & Hunting,4.6,Siong Fishing Tackle,Selangor
Recreation Centers,4.2,Bubble Sports Complex Cheras,Selangor
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Terengganu
Gyms & Studios,4.9,Seven Star Gym Batu Lancang,Penang
Fishing & Hunting,4.1,Real Fishing Tackle,Pahang
Gyms & Studios,4.8,Verticale Malaysia Sdn Bhd,Selangor
Fishing & Hunting,4.5,TCE Tackles Sdn Bhd,Johor
Golf & Driving Ranges,4.2,Palm Resort Golf & Country Club,Johor
Recreation Centers,4.1,Andalas Sports Complex,Selangor
Gyms & Studios,4.2,Celebrity Fitness Gym - Bukit Rimau,Selangor
Fishing & Hunting,4.4,Kedai Pancing Marang Tackle Ent,Terengganu
Gyms & Studios,4.4,KakiGym Kajang,Selangor
Team Sports & Fields,4.4,Olympia Badminton Arena,Sabah
Gyms & Studios,4.8,Revelation Republic,Selangor
Recreation Centers,4.7,Ranau Borneo Paragliding,Sabah
Gyms & Studios,4.2,Java And Fitness,Sarawak
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Negeri Sembilan
Fishing & Hunting,4.4,Kolam Pancing Udang Galah Batu 8,Kedah
Recreation Centers,4.2,Chendering Futsal,Pahang
Fishing & Hunting,3.9,Telok Tongkah Enterprise,Selangor
Fishing & Hunting,4.9,SS2 Fishing Fever Angler,Selangor
Golf & Driving Ranges,4.1,Staffield Country Resort Bhd,Negeri Sembilan
Gyms & Studios,4.7,Project Rock Climbing Gym,Other
Recreation Centers,4.2,KHTP Sports Complex,Kedah
Fishing & Hunting,4.1,Usan Trading Company,Selangor
Recreation Centers,4.3,DMS Sports Centre,Selangor
Fishing & Hunting,4.5,Hup Lee Fishing Tackle,Johor
Fishing & Hunting,3.9,Kolam Pancing Syawal,Johor
Fishing & Hunting,4.4,SRI RAMPAI FISHING TACKLE,Kuala Lumpur
Golf & Driving Ranges,4.0,Kemaman Golf Driving Range,Terengganu
Recreation Centers,4.4,Pusat Sukan Universiti Malaya,Kuala Lumpur
Gyms & Studios,4.0,Gopi K-Mark Gym,Selangor
Gyms & Studios,4.5,Club27fitness,Johor
Gyms & Studios,4.9,KOA FITNESS,Kuala Lumpur
Golf & Driving Ranges,4.2,Carey Island Golf Club,Selangor
Gyms & Studios,4.7,Anytime Gym & Fitness,Sabah
Water & Aquatic Sports,4.3,Scuba Junkie,Sabah
Fishing & Hunting,4.5,TCE Tackles Sdn Bhd,Perak
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Sarawak
Recreation Centers,4.2,Hamdhy & Co.,Selangor
Gyms & Studios,4.7,BKS IYENGAR YOGASHALA,Kuala Lumpur
Ball Sports,4.3,Galacticos de Futsal Ampang,Selangor
Ball Sports,4.3,Active Hydro Control Sdn Bhd,Selangor
Gyms & Studios,4.5,Anytime Fitness Bandar Utama (Centrepoint),Selangor
Gyms & Studios,4.2,Grand Fitness,Penang
Other Outdoor & Lawn Sports,4.2,DEWAN SERBA GUNA KAMPUNG SRI FAJAR,Pahang
Other Outdoor & Lawn Sports,4.3,KB | Kwok Bao | 國寶 Badminton Court,Perak
Fishing & Hunting,4.2,Heng Fishing Tackle,Johor
Gyms & Studios,4.4,"Peak Fitness Gurney Plaza, Penang",Other
Fishing & Hunting,4.4,Senwell Fishing Park,Perak
Other Outdoor & Lawn Sports,4.3,APACS BADMINTON CENTRE,Johor
Gyms & Studios,4.5,Ewako MMA,Sabah
Gyms & Studios,4.2,EZ Blast Gym,Kuala Lumpur
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Terengganu
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Selangor
Gyms & Studios,4.6,Burly Gym Fitness Centre,Johor
Gyms & Studios,4.7,关丹建造行武术醒狮团,Pahang
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Penang
Other Outdoor & Lawn Sports,4.2,One Badminton Academy,Kuala Lumpur
Water & Aquatic Sports,4.5,Supersharkz Swim School @KotaDamansara,Selangor
Golf & Driving Ranges,4.1,Tanjong Puteri Golf and Resort,Johor
Other Outdoor & Lawn Sports,4.4,Just in Sports Centre,Johor
Gyms & Studios,3.5,Celebrity Fitness Gym - Klang Parade,Selangor
Gyms & Studios,4.9,Ozone Fitness,Selangor
Gyms & Studios,4.3,Dynamic Gym & Fitness Centre,Sarawak
Team Sports & Fields,4.5,Arena Jubli bangi,Selangor
Recreation Centers,3.4,D'Star Arena Complex,Selangor
Gyms & Studios,4.7,Journey Indoor Cycling Studio,Kuala Lumpur
Recreation Centers,3.6,Sungai Chua Food & Sports Centre,Selangor
Gyms & Studios,4.6,Anytime Fitness Seksyen 9 Shah Alam,Selangor
Recreation Centers,4.2,Lavana Sports Centre,Kuala Lumpur
Gyms & Studios,4.3,Hyperflex Fitness,Selangor
Ball Sports,4.1,DO ARENA 163,Kuala Lumpur
Gyms & Studios,4.9,The Little Gym of Petaling Jaya,Selangor
Golf & Driving Ranges,4.0,Kelab Golf Seri Selangor,Selangor
Gyms & Studios,4.5,Synergy Fitness Puchong,Selangor
Golf & Driving Ranges,3.9,Kulim Golf & Country Resort,Kedah
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Other
Gyms & Studios,3.7,Anytime Fitness Nexis,Selangor
Golf & Driving Ranges,4.4,Kota Seriemas Golf & Country Club,Negeri Sembilan
Fishing & Hunting,3.8,TCE Tackles Bukit Indah,Johor
Gyms & Studios,4.4,FLYPROJECT - DC Mall,Kuala Lumpur
Gyms & Studios,4.5,Fitworx Fitness Centre @ Bukit Jelutong,Selangor
Martial Arts & Dojos,4.9,Kambiz Warriors Gym,Selangor
Gyms & Studios,3.9,Angelus Fitness Stapok,Sarawak
Gyms & Studios,4.9,Ultimate Gym - serious fitness,Kuala Lumpur
Gyms & Studios,4.2,Borneo Hardcore Gym,Sabah
Fishing & Hunting,4.6,Xin Cheng Enterprise,Sarawak
Golf & Driving Ranges,4.1,MST Golf Super Store Subang Jaya,Selangor
Gyms & Studios,4.0,Enrich Fitness,Selangor
Gyms & Studios,4.4,Team Powerhouse Fitness,Penang
Gyms & Studios,4.7,The Little Gym of Subang Jaya,Selangor
Gyms & Studios,4.4,Bodywork Fitness Centre,Perak
Gyms & Studios,4.3,Fitwhey Gym Malim,Melaka
Gyms & Studios,4.3,I-Gym Fitness,Sarawak
Fishing & Hunting,3.9,Nine Three Three Fishing Tackle Shop,Johor
Fishing & Hunting,4.4,Fishingline Tackle,Johor
Gyms & Studios,4.7,Camp5 Climbing Gym Paradigm,Johor
Skating & Rinks,4.3,Skatepark Bukit Kiara - Jabatan Belia & Sukan WP Kuala Lumpur,Kuala Lumpur
Other Outdoor & Lawn Sports,3.9,Sinamax Badminton Court,Selangor
Fishing & Hunting,4.3,Sport Line Pro Fishing Shop,Selangor
Water & Aquatic Sports,4.5,Vitesse Swim School (Seremban Swimming Lesson),Negeri Sembilan
Gyms & Studios,4.4,Permata Gym Resources,Selangor
Saunas & Spas,3.8,52 Forest Sauna & Massage,Kuala Lumpur
Recreation Centers,4.2,Kolam Air Panas La ( La Hot Springs),Terengganu
Gyms & Studios,4.0,Celebrity Fitness Gym - Main Place,Selangor
Other Outdoor & Lawn Sports,4.3,Puchong Sport Center,Selangor
Gyms & Studios,4.7,The Underdogs Strength & Conditioning,Other
Gyms & Studios,3.8,Fitness First Gym - IOI Mall Puchong,Selangor
Recreation Centers,4.2,The Malacca Club,Melaka
Golf & Driving Ranges,3.9,Bukit Jalil Golf & Country Resort,Kuala Lumpur
Fishing & Hunting,4.7,Moon Fishing Tackle,Selangor
Gyms & Studios,4.4,JuaraGym,Sabah
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Kelantan
Gyms & Studios,4.2,iGP Fitness Centre,Johor
Gyms & Studios,4.3,FastTrack Gym & Fitness Centre,Kuala Lumpur
Recreation Centers,3.8,South Kedah Chinese Recreation Club,Kedah
Fishing & Hunting,3.9,Rumah Rakit Pak Itam,Selangor
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Negeri Sembilan
Gyms & Studios,4.7,Camp5 Climbing Gym KL Eco City,Kuala Lumpur
Gyms & Studios,4.6,COLOSSEUM GYM,Johor
Recreation Centers,4.1,X Park Sunway South Quay,Selangor
Gyms & Studios,4.4,Fitness Arena,Perak
Other Outdoor & Lawn Sports,4.0,Sunsuria-Pioneer Badminton Hall,Selangor
Golf & Driving Ranges,4.0,Nilai Springs Golf & Country Club,Negeri Sembilan
Gyms & Studios,4.4,Level Up Fitness Xpress Town Square,Sarawak
Other Outdoor & Lawn Sports,4.4,Duta Squash Court,Kuala Lumpur
Gyms & Studios,4.8,"Gympark Fitness, Bandar Puteri",Selangor
Skating & Rinks,4.4,Blue Ice Skating Rink @ Paradigm Mall Johor Bahru,Johor
Recreation Centers,3.9,Kompleks Sukan Kota Belud,Sabah
Gyms & Studios,4.9,6 PAX FITNESS CENTRE JB,Johor
Recreation Centers,4.7,CHK Arena 赞化阁运动中心,Other
Fishing & Hunting,5.0,TCE Tackles Sdn Bhd,Terengganu
Gyms & Studios,4.9,Flash Fitness Gym & Sports Centre,Melaka
Saunas & Spas,4.7,Billion Onsen & Aesthetics - Luxury Spa Kuala Lumpur,Kuala Lumpur
Fishing & Hunting,4.7,"Rahman saudagar umpan Udang, Sotong, & Belanak Hidup",Negeri Sembilan
Fishing & Hunting,3.7,TCE Tackles Sdn Bhd,Kedah
Gyms & Studios,4.8,Anytime Fitness Boulevard Kajang,Selangor
Gyms & Studios,4.8,24-Hour Gym: Anytime Fitness Bandar Puteri Puchong @ IOI Rio,Selangor
Gyms & Studios,4.8,F1 FITNESS KUANTAN,Pahang
Gyms & Studios,4.9,Gym Box - #1 Biggest Gym at Setapak,Kuala Lumpur
Fishing & Hunting,4.3,Utama Farm Prawning,Selangor
Gyms & Studios,4.8,Anytime Fitness Sri Damansara,Kuala Lumpur
Gyms & Studios,4.5,Anytime Fitness Mount Austin,Johor
Recreation Centers,3.9,IOI Sports Centre,Putrajaya
Recreation Centers,4.5,Seriemas SportsPlex,Negeri Sembilan
Gyms & Studios,4.8,Real Fitness,Selangor
Gyms & Studios,4.5,Blitz Gym,Selangor
Skating & Rinks,4.3,Icescape,Putrajaya
Fishing & Hunting,4.5,Rumah Rakit Maraie Kg Padang Rumbia,Pahang
Golf & Driving Ranges,4.2,Kelab Golf Negara Subang,Selangor
Gyms & Studios,4.7,Suria Strong Fit Gym,Johor
Recreation Centers,4.7,Bubble Sports Complex Tebrau,Johor
Gyms & Studios,4.4,GoFit - Plaza Mont Kiara,Kuala Lumpur
Gyms & Studios,3.2,Fitness First Gym – 1 Mont Kiara,Kuala Lumpur
Gyms & Studios,4.9,Good Juju Barbell Club,Kuala Lumpur
Gyms & Studios,5.0,The One Fitness,Kuala Lumpur
Other Outdoor & Lawn Sports,4.6,Pickle Social Club,Kuala Lumpur
Gyms & Studios,4.5,BHub Bouldering,Selangor
Gyms & Studios,4.3,BUMP Bouldering Pavilion Bukit Jalil,Kuala Lumpur
Gyms & Studios,2.3,Anytime Fitness Ara Damansara (Dana13),Selangor
Gyms & Studios,3.8,Anytime Fitness Megah Rise,Selangor
Gyms & Studios,5.0,Lepak Gym,Selangor
Gyms & Studios,4.9,Fitnacle Kota Kemuning,Selangor
Gyms & Studios,4.9,Kampung Gym (Austin),Johor
Gyms & Studios,4.7,The Flow Studio - Yoga & Pilates | Bangsar,Kuala Lumpur
Gyms & Studios,4.8,Level Up Fitness Xpress Metrocity (24-Hour Gym),Sarawak
Recreation Centers,4.2,GoTeam Sports Complex,Selangor
Gyms & Studios,5.0,Believe Fitness Jaya Shopping Center,Selangor
Gyms & Studios,4.6,Anytime Fitness Bukit Bintang,Kuala Lumpur
Gyms & Studios,4.5,Anytime Fitness Jalan Ampang,Kuala Lumpur
Gyms & Studios,4.9,PUMP FITNESS KL,Kuala Lumpur
Gyms & Studios,4.8,Maxout Fitness PRO SERIES ( Bukit Mertajam ),Other
Gyms & Studios,4.9,TNT Fitness Pro,Selangor
Gyms & Studios,5.0,PUMP FITNESS SUBANG,Selangor
Gyms & Studios,4.9,"Republic Fitness KK, Centre Point Sabah",Sabah
Gyms & Studios,4.7,"24-Hour Gym: Anytime Fitness 16 Sierra Puchong, Sierra Fresco.",Selangor
Gyms & Studios,4.6,Jal Yoga Malaysia (Megah Rise Studio),Selangor
Golf & Driving Ranges,4.1,The Club Driving Range,Selangor
Gyms & Studios,4.3,R3 Fitness,Johor
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Other
Fishing & Hunting,4.5,Sion Lee Trading Company,Sarawak
Other Outdoor & Lawn Sports,4.0,Champion Badminton Court,Selangor
Water & Aquatic Sports,4.3,Rainbow Runner Asia Sdn. Bhd,Selangor
Recreation Centers,4.6,Shark Fin Swim Academy,Selangor
Gyms & Studios,5.0,Jumpa D'Gym,Putrajaya
Other Outdoor & Lawn Sports,4.6,M SPORTS ARENA,Kuala Lumpur
Team Sports & Fields,4.4,"LaVista Arena, Bangi Resort Hotel",Selangor
Team Sports & Fields,4.5,Tops Arena Empire,Kuala Lumpur
Team Sports & Fields,4.3,Alpha Badminton Complex Bukit Serdang,Selangor
Team Sports & Fields,4.3,Setapak Badminton Centre,Kuala Lumpur
Other Outdoor & Lawn Sports,3.9,Optima Utama Sport Center,Selangor
Team Sports & Fields,4.3,CPS Serdang Badminton Centre,Selangor
Other Outdoor & Lawn Sports,4.5,Pusat Badminton 148,Pahang
